;Descricao;Preco
0;Processador Intel Core i5-12400F, 2.5GHz (4.4GHz Max Turbo), Cache 18MB, LGA 1700 - BX8071512400F;R$ 799,99
1;Processador Intel Core i5-12400, 2.5GHz (4.4GHz Max Turbo), Cache 18MB, LGA 1700 - BX8071512400;R$ 999,99
2;Processador Intel Core i3-10105, 3.7GHz (4.4GHz Max Turbo), Cache 6MB, Quad Core, 8 Threads, LGA 1200, Vídeo Integrado - BX8070110105;R$ 639,99
3;Processador Intel Core i5-10400F, 2.9GHz (4.3GHz Max Turbo), Cache 12MB, 6 Núcleos, 12 Threads, LGA 1200 - BX8070110400F;R$ 749,99
4;Processador Intel Core i7-14700K, 14ª Geração, 5.6 GHz Max Turbo, Cache 33MB, 20 Núcleos, 28 Threads, LGA1700 - BX8071514700K;R$ 2.899,99
5;Processador Intel Core i7-12700K, 3.6GHz (5.0GHz Max Turbo), 12 Núcleos, 20 Threads, LGA 1700, Vídeo Integrado - BX8071512700K;R$ 1.849,99
6;Processador Intel Core i9-14900K, 14ª Geração, 6GHz Max Turbo, Cache 36MB, 24 Núcleos, 32 Threads, LGA1700 - BX8071514900K;R$ 3.689,99
7;Processador Intel Core i7-14700KF, 14ª Geração, 5.6 GHz Max Turbo, Cache 33MB, 20 Núcleos, 28 Threads, LGA1700 - BX8071514700KF;R$ 2.659,99
8;Processador Intel Core i5-14600KF, 14ª Geração, 5.3 GHz Max Turbo, Cache 24MB, 14 Núcleos, 20 Threads, LGA1700 - BX8071514600KF;R$ 1.799,99
9;Processador Intel Core i5-12600KF, 3.7GHz (4.9Ghz Max Turbo), Cache 20MB, Quad Core, 16 Threads, LGA 1700 - BX8071512600KF;R$ 1.229,99
10;Processador Intel Core i7-12700F, 2.1GHz (4.9GHz Max Turbo), Cache 25MB, LGA 1700 - BX8071512700F;R$ 1.819,99
11;Processador Intel Core i7-12700KF, 3.6GHz (5.0GHz Max Turbo), Cache 25MB, 12 Núcleos, 20 Threads, LGA 1700 - BX8071512700KF;R$ 1.699,99
12;Processador Intel Core i9-12900KS, 3.4GHz (5.5GHz Max Turbo), Cache 30MB, LGA 1700, Vídeo Integrado - BX8071512900KS;R$ 2.049,99
13;Processador Intel Core i5-10400, 2.9GHz (4.3GHz Max Turbo), Cache 12MB, LGA 1200 - BX8070110400;R$ 949,99
14;Processador Intel Core i5-14600K, 14ª Geração, 5.3 GHz Max Turbo, Cache 24MB, 14 Núcleos, 20 Threads, LGA1700 - BX8071514600K;R$ 1.799,99
15;Processador Intel Core I5 14600kf 14 Geração, 3.5 Ghz (5.3 Ghz Turbo), Cache 24MP, LGA1700 - Bx8071514600kf;R$ 2.095,90
16;Processador Intel Core i9-14900KF, 14ª Geração, 6GHz Max Turbo, Cache 36MB, 24 Núcleos, 32 Threads, LGA1700 - BX8071514900KF;R$ 3.459,99
17;Processador Intel Core I5 - 12400F, 2.5GHz (4.4GHz Turbo), Cache 7,5MB, 12 Threads, Hexa Core, LGA 1700 - BX8071512400F;R$ 799,00
18;Processador Intel Core i5-13400, 4.6GHz Max Turbo, Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700, Vídeo Integrado - BX8071513400;R$ 1.459,99
19;Processador Intel Core i7-12700, Cache 25MB, 2.1GHz (4.9GHz Max Turbo), LGA 1700 - BX8071512700;R$ 2.149,99
20;Processador Intel Core i3-12100, Cache 12MB, 3.3GHz (4.3GHz Max Turbo), LGA 1700, Vídeo Integrado, com Cooler - BX8071512100;R$ 879,99
21;Processador Intel Core i5-13400F, 4.6GHz Max Turbo, Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700 - BX8071513400F;R$ 1.409,99
22;Processador Intel Core I5-12600KF 12ª Geração, 3.7GHz, Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700 - BX8071512600KF;R$ 1.109,00
23;Processador Intel Core I9 14900k, 14ª Geração, 3.6 GHZ 6.0 GHZ Turbo, Cache 36MB, Intel LGA1700 - BX8071514900K;R$ 3.965,31
24;Processador Intel Core i3-12100F, 3.3GHz (4.3GHz Max Turbo), Cache 12MB, LGA 1700 - BX8071512100F;R$ 589,99
25;Processador Intel Core i5-12600K, 3.7GHz (4.9GHz Max Turbo), Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700, Vídeo Integrado - BX8071512600K;R$ 1.499,99
26;Processador Intel Core I5 14600k 14 Geração, 3.5 Ghz (5.3 Ghz Turbo), Cache, 24MB, LGA1700 - Bx8071514600k;R$ 1.838,32
27;Processador Intel Core i3-10105F, 3.7GHz (4.4GHz Max Turbo), Cache 6MB, Quad Core, 8 Thread, LGA 1200 - BX8070110105F;R$ 499,99
28;Processador Intel Core I5 13400f, 2.5GHz (4.6GHz Turbo), Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700, Sem Vídeo - Bx8071513400f;R$ 1.115,97
29;Processador Intel Core I5 14400f 14ª Geração, 3.5 Ghz (4.7 Ghz Turbo), Cache 20mb, 10 Núcleos, 16 Threads, Lga1700, Sem Vídeo Integrado - Bx8071514400f;R$ 1.171,92
30;Processador Intel Celeron G5905, 3.50 GHz, Cache 4MB, 2 Núcleos, 2 Threads, LGA 1200, Vídeo Integrado - BX80701G5905;R$ 349,99
31;Processador Intel Core i3-10100F, 3.6GHz (4.3GHz Max Boost), Cache 6MB, Quad Core, 8 Threads, LGA 1200 - BX8070110100F;R$ 499,99
32;Processador Intel I5-12400, 2.5GHz, Cache 18MB, Hexa Core, 12 Threads, LGA 1700 - BX8071512400;R$ 1.071,12
33;Processador Intel Core i7-13700F, 5.2GHz Max Turbo, Cache 30MB, 16 Núcleos, 24 Threads, LGA 1700 - BX8071513700F;R$ 2.299,99
34;Processador Intel Core i9-12900KF, 3.2GHz (5.2GHz Max Turbo), Cache 30MB, 16 Núcleos, 24 Threads, LGA 1700 - BX8071512900KF;R$ 2.299,99
35;Processador Intel Core I3-10100, 3.60GHz (4.3GHz Turbo), Cache 6MB, LGA 1200 - BX8070110100;R$ 656,72
36;Processador Intel Core i9-13900F, 5.6GHz Max Turbo, Cache 36MB, 24 Núcleos, 32 Threads, LGA 1700 - BX8071513900F;R$ 3.019,99
37;Processador Intel Pentium Gold G6405, 4.10 GHz, Cache 4MB, Dual Core, 4 Threads, LGA1200 - BX80701G6405;R$ 509,99
38;Processador Intel Core I7-3770, 3.40GHz, Smart Cache 8MB, LGA 1155, 8 Threads, OEM;R$ 343,10
39;Processador Intel Core I3 14100f, 14ª Geração, 3.5 Ghz, 4.7 Ghz Turbo, Cache 12mb Lga 1700, Sem Vídeo - Bx8071514100f;R$ 646,32
40;Processador Intel Pentium Gold G6400 Processor, 4.00 GHz, Cache 4MB, Dual Core, 4 Threads, LGA1200 - BX80701G6400;R$ 509,99
41;Processador Intel Core I9 11900kf Oem LGA 1200;R$ 1.699,00
42;Processador Intel Core i3-13100F, 4.5GHz Max Turbo, Cache 12MB, 4 Núcleos, 8 Threads, LGA 1700 - BX8071513100F;R$ 649,99
43;Processador Intel Core i3-13100, 4.5GHz Max Turbo, Cache 12MB, 4 Núcleos, 8 Threads, LGA 1700, Vídeo Integrado - BX8071513100;R$ 1.019,99
44;Processador Intel i5-11400 2.6GHz;R$ 1.151,99
45;Processador Intel Core i7 10700 2.90GHz;R$ 1.934,99
46;Processador Intel Core I5 14400, 14ª Geração 3.5 Ghz, 4.7 Ghz Turbo, Cache 20mb, LGA1700 - Bx8071514400;R$ 1.495,12
47;Processador Intel Core i7-11700KF 11ª Geração, 3.6 GHz (4.9GHz Turbo), Cache 16MB, Octa Core, 16 Threads, LGA1200 - BX8070811700KF;R$ 1.949,99
48;Processador Intel Core I3 - 14100, 3.5 GHz, (4.7GHz Turbo), Cache 12MB, 8 Threads, LGA 1700 - Bx8071514100;R$ 934,07
49;Processador Intel Core i7-11700K 11ª Geração, 3.6 GHz (4.9GHz Turbo), Cache 16MB, Octa Core, LGA 1200, Vídeo Integrado - BX8070811700K;R$ 2.249,99
50;Processador Intel Core I5-13600K, 3.5GHz, Cache 24MB, Quad Core, 20 Threads, LGA 1700 - BX8071513600KI;R$ 1.846,12
51;Processador Intel I5-3470, 3.60ghz, 6mb Cache - Fclga1155.;R$ 151,74
52;Processador Intel Core i9-12900K, 3.2GHz (5.2GHz Max Turbo), Cache 30MB, 16 Núcleos, 24 Threads, LGA 1700, Vídeo Integrado - BX8071512900K;R$ 2.699,99
53;Processador Intel Core I5, 8500, 4.1ghz, LGA1151, 8 Geração Oem;R$ 446,11
54;Processador Intel Core I7 3770 3ª Geração, 3.40GHz, Quad Core, 8 Threads, FCLGA 1155, OEM;R$ 327,43
55;Processador Intel Core I7 14700kF, 3.4 GHz (5.6GHZ Turbo), Cache 33MB, LGA1700 - Bx8071514700kf;R$ 2.649,00
56;Processador Intel Core I3-12100, 30GHz, Cache 12MB, 8 Threads, LGA 1700 - Bx8071512100;R$ 858,32
57;Processador Intel Core I3-10105 10ª Geração, 3.70GHz (4.40ghz Turbo), Quad Core, Cache 6MB, 8 Threads, LGA 1200 - BX8070110105;R$ 687,12
58;Processador Intel I3-6100 3.70ghz 3mb Cache LGA 1151 O&m;R$ 134,40
59;Processador Intel Pentium Gold G6405, 10ª Geração, 4.10GHz, Dual Core, 4 Threads, LGA 1200 - BX80701G6405;R$ 495,12
60;Processador Intel Core I7-4790, 3.60 Ghz, Quad Core Oem, LGA 1150;R$ 328,35
61;Processador Intel Core Ultra 7-265KF, 5.5GHz, Até 20 Núcleos, Com suporte a PCIe 5.0 e 4.0 e suporte a DDR5 - BX80768265KF;R$ 2.999,99
62;Processador Intel Core I7-6700, 3.40GHz, Quad Core, 8 Threads, OEM;R$ 548,13
63;Processador Intel I5-11400F, 2.6GHz, Cache 12MB, Hexa Core, 12 Threads, LGA 1200 - BX8070811400F;R$ 865,34
64;Processador Intel Core I3-10100F, 3.60GHz (4.30GHz Turbo), Cache 6MB, LGA 1200 - BX8070110100F;R$ 527,68
65;Processador Intel I7-12700F, 2.1Ghz (4.9Ghz Turbo ), Cache 25MB, 20 Threads, Dual Core, LGA 1700 - BX8071512700F;R$ 1.899,12
66;Processador Intel Core I5 13400 Box Lga 1700 10 Cores 16 Threads 20MB Cache - BX8071513400;R$ 1.389,90
67;Processador Intel Core I7-13700f Box LGA 1700 30MB Cache) Sem Vídeo Integrado - Bx8071513700f;R$ 3.027,38
68;Processador Intel Core I5-10400F, 2.9GHz (4.3GHz Turbo), Hexa Core, Cache 12MB, LGA 1200 - BX8070110400F;R$ 727,12
69;Processador Intel Core I5-10400, 2.90GHz (4.3GHz Turbo), Hexa Core, Cache 12MB, LGA 1200 - BX8070110400;R$ 959,92
70;Processador Intel Core I7-12700K, 3.6GHz (5.0GHz Max Turbo), Cache 25MB, LGA 1700 - BX8071512700K;R$ 1.845,00
71;Processador Intel I3-2100 / 3.1ghz / 3mb Cache / FcLGA 1155;R$ 47,63
72;Processador Intel Core I7 - 14700, 2.1GHz (5.40GHz Max Turbo), Cache 33MB, 28 Threads, LGA 1700;R$ 2.414,32
73;Processador Core I7 1151 Intel Octa Core I7-9700f;R$ 1.334,16
74;Processador Intel Core I7-4770 3.4GHZ, Cache 8MB, 8 Threads, LGA 1150;R$ 320,10
75;Processador Intel Core i9-11900K 11ª Geração, 3.5 GHz (5.1GHz Turbo), Cache 16MB, Octa Core, LGA1200, Vídeo Integrado - BX8070811900K;R$ 2.699,99
76;Processador Intel I5-6500 3.20ghz 6mb LGA 1151 H110(sem Cooler - Oem);R$ 346,84
77;Processador Intel Core I5-12600K, 3.7ghz (4.9ghz Max Turbo), Lga 1700, 10 Núcleos, 16 Threads, Cache 20mb - Bx8071512600k;R$ 1.379,00
78;Processador Intel Core i7 i7-2600 3,4GHz 5.0GT/s 8MB LGA1155;R$ 279,49
79;Processador Intel I7 12700 12ª Geração, 2.1GHz (Turbo 4.90Ghz), Cache 25MB, Dual Core, 20 Threads, LGA 1700 - BX8071512700;R$ 2.465,10
80;Processador Intel Core I7-4770, 40GHz, Quad Core, LGA 1150, OEM;R$ 347,71
81;Processador Intel I7-12700KF, 3.6GHz 5.0GHz Max Turbo, Cache 25MB, Dual Core, 20 Threads, LGA 1700 - BX8071512700KF;R$ 1.679,00
82;Processador Intel Core I9 14900kf, 14ª Geração, 3.6 Ghz (6.0ghz Turbo), Cache 36MB, LGA 1700 - BX8071514900KF;R$ 4.246,24
83;Processador Intel Core I7-10700F 10ª Geração, 2.9GHz (4.8GHz Turbo), Cache 16MB, 16 Threads, LGA 1200 - BX8070110700F.;R$ 2.359,50
84;Processador Intel Core I3 6100 6ª Geração, 3.70GHz, Cache 3MB, LGA 1151, Skylake;R$ 148,50
85;Processador Intel 1150 Core I3 4160, 3.6ghz/3mb S/cooler Tray 4ªg I3-4160;R$ 66,19
86;Processador Intel Core I9-13900kf, Lga 1700, 36MB Cache - Bx8071513900kf;R$ 3.393,52
87;Processador Intel I3-2120, 3.3ghz, 3mb, Cache, LGA 1155;R$ 47,01
88;Processador Intel Celeron G6900, 3.40MHz, LGA 1700 - BX80715G6900;R$ 464,72
89;Processador Intel Core I3-2100 Cache 3m 3.10ghz LGA 1155 Oem;R$ 147,97
90;Processador Intel Core Ultra 7-265K, 5.5GHz, Até 20 Núcleos, Com suporte a PCIe 5.0 e 4.0 e suporte a DDR5 - BX80768265K;R$ 3.149,99
91;Processador Intel Core I9-10850K, 3.6GHz (5.2GHz), Cache 20MB, LGA 1200 - BX8070110850K;R$ 2.645,99
92;Processador Intel Core I7 3770, 3.9GHz, Cache 8MB, LGA 1155, Sem Cooler Tray;R$ 373,75
93;Processador Intel Core I5-11400, 2.6GHz (4.4GHz Turbo), Cache 12MB, LGA 1200 - BX8070811400;R$ 1.178,17
94;Processador Intel Core i7 10700F 2.90GHz;R$ 1.907,99
95;Processador Intel Pentium Dual Core G5500 8ª Geração LGA 1151 - Cm8068403377611 S/cooler S/caixa;R$ 147,12
96;Processador Intel Core I5 4590, 3.7GHz, Cache 6MB, 1150, Sem Cooler;R$ 179,66
97;Processador Intel I5-6500 + 4 Núcleos +3.6GHZ OEM + Cache6 MB;R$ 305,23
98;Processador Intel 1151 Core I3 8100 3.6ghz/6mb S/ Cooler Tray 8°g I3-8100;R$ 276,96
99;Processador Intel Core I5-2400, 3.10GHz, Cache 6MB, Quad Core, LGA 1155, OEM;R$ 112,71
100;Processador Intel Core I5 7500, 3.4GHz, Cache 6MB, LGA 1151, Sem Cooler Tray - BX80677I57500;R$ 373,98
101;Processador Intel I3-4130, 3.40GHz, Cache 3MB, Dual Core, 4 Threads, FCLGA 1150, OEM;R$ 55,62
102;Processador Intel Core Ultra 5-245K, 5.2GHz, Até 14 Núcleos, Com suporte a PCIe 5.0 e 4.0 e suporte a DDR5- BX80768245K;R$ 1.999,99
103;Processador Intel Core I5-11500 11ª Geração, 2.7GHz, Cache 12MB, Hexa Core, 4 Threads, LGA 1200 - BX8070811500;R$ 2.045,10
104;Processador Intel Core i5-11400F, 2.6 GHz (4.4GHz Turbo), Cache 12MB, 6 Núcleos, 12 Threads, LGA1200 - BX8070811400F;R$ 849,99
105;Processador Intel Core i9 10900F 2.80GHz - 5.20GHz Turbo 20MB;R$ 2.294,99
106;Processador Intel Core I9-10900X Cascade Lake, 3.70GHz, Cache 19MB, LGA 2066, Sem Cooler, Sem Ví­deo On Board - BX8069510900X;R$ 6.862,40
107;Processador Intel Core I5 6500, 3.2GHz, Cache 6MB, LGA 1151, Sem Cooler Tray;R$ 356,47
108;Processador Intel 1150 Core I5 4590, 3.70ghz, 6MB S/cooler, Tray 4ªg, I5-4590;R$ 172,92
109;Processador Intel Core I9 12900F, 3.80GHz, 16 Core, LGA 1700;R$ 2.272,90
110;Processador Intel Core Ultra 7 265k Arrow Lake 3.9ghz 5.5ghz Turbo 20cores 20threads LGA 1851 Video Integrado;R$ 3.161,52
111;Processador Intel Core i9-13900, 5.6GHz Max Turbo, Cache 36MB, 24 Núcleos, 32 Threads, LGA 1700, Vídeo Integrado - BX8071513900;R$ 4.299,99
112;Processador Intel Celeron G-5900, 3.40GHz, Dual Core, 2 Threads, FCLGA 1200 - BX80701G5900;R$ 403,75
113;Processador Intel Sk1150 Core I7 4790 3.90ghz Oem Sem Cooler;R$ 384,00
114;Processador Intel Xeon Silver 4310,LGA 4189,2.1ghz,turbo 3.3ghz,Cache 18mb - Bx806894310;R$ 6.712,99
115;Processador Intel Core I3-3220, 3.3GHz, 3MB, 2 Núcleos, 4 Threads, LGA 1155, Vídeo Integrado - Sk1155;R$ 119,90
116;Processador Intel Xeon E7-8830 SLC3K, 2.13GHz, Cache 24MB, Octa Core, LGA 1567;R$ 367,11
117;Processador Intel 1155 Core I5 2400 3.1ghz/3MB S/ Cooler Tray 2º G I5-2400;R$ 101,37
118;Processador Intel Core I9 14900, 5.80ghz, Max Turbo, 24-core, 32-threads, LGA1700;R$ 3.979,92
119;Processador Intel Core I9-12900 12ª Geração, 1.8GHz, Cache 30MB, Núcleos 16, Threads 24, LGA 1700 - Bx8071512900;R$ 2.707,12
120;Processador Intel Core I5-10400, 2.9GHz, Cache 12MB, LGA 1200 - BX8070110400;R$ 1.097,12
121;Processador Intel Core I5, 3.30GHz, Quad Core, 4 Threads, HD Graphics 4600, OEM;R$ 203,56
